seq	headword	coinage_cats	modern_cats	source_period
513	אִירֵדֶנְטָה	[20]	[]	N
514	מִסְתּוֹר	[4]	[1]	B
515	רֵימָטִיזְם	[20]	[]	N
516	סִבּוּן	[4]	[]	N
518	מַרְקָה	[4]	[3]	C
519	נִשְׂגָּבוּת	[10]	[]	N
520	נוֹנָה	[20]	[]	N
521	מַשְׁלֵב	[4]	[]	N
522	כְּפוֹר א	[4]	[1]	B
523	מַעְבֹּרֶת א	[4]	[1]	C
524	תַּחְרִים	[16]	[]	N
525	שְׁלֵמְתָנוּת	[10]	[]	N
526	אֲבַטִּיחַ	[0]	[1]	B
527	אִחוּי	[4]	[1]	C
528	אִינְפַרְקְט	[20]	[]	N
529	אִיטַלְקִית	[10]	[1]	M
530	צִיסְטָה	[20]	[]	N
531	חָכְמָה	[4]	[1]	B
532	הַגְלָדָה	[4]	[]	N
533	פַּנַּג	[0]	[1]	B
534	בַּדְרָן	[4]	[]	N
535	חִנּוּךְ	[4]	[1]	C
536	פָּמַלְיָה	[20]	[1]	C
537	עוֹרֵךְ	[4]	[]	N
538	שַׁח ב	[16]	[]	N
539	מִקְלָע	[4]	[2]	M
540	סְטוּדֶנְטִיּוּת	[11]	[]	N
541	חַרְחֲרָן	[4]	[]	N
542	מִכְוַרְתָּן	[10]	[]	N
543	פִּנְכָּה	[16]	[1]	C
544	אֶנְדּוֹקְרִינוֹלוֹג	[19]	[]	N
545	תַּעֲצֹמֶת א	[4]	[]	N
546	אֶשְׁכָּר	[0]	[1]	B
547	תְּלוֹי	[4]	[1, 2]	C
548	גֹּֽאַל	[4]	[1]	B
549	סְפִיָּה א	[4]	[1]	M
550	קוּסְקוּס	[16]	[]	N
551	מַשִּׁיק	[4]	[]	N
552	נֵירִיטִיס	[20]	[]	N
553	פָּזִיחַ	[0]	[1]	C
554	דֻּגְמָן	[10]	[]	N
555	אַיּוּת	[10]	[]	N
556	הֵעָלְמוּת	[4]	[]	N
557	מִגּוּן	[4]	[]	N
558	בְּלוּזוֹן	[20]	[]	N
559	מַעֲצָר	[4]	[1]	B
560	עֲקִימָה	[4]	[1]	C
561	הַרְקָבָה	[4]	[]	N
562	מִכְבָּסָה	[4]	[]	N
563	אָלַבַּסְטְרוֹן	[19]	[]	N
564	מִשּׁוּךְ	[4]	[]	N
565	קִירִי	[20]	[]	N
566	תֹּֽמֶר	[0]	[1]	B
567	חַיִס	[16]	[1]	C
568	אִגּוּף	[4]	[]	N
569	קִפּוּץ	[4]	[1]	C
570	שִׁיעַ	[16]	[1]	C
571	מִטְמוּט	[4]	[1]	C
572	שְׁנִיצֵל	[20]	[]	N
573	אֲבִיכוּת	[10]	[]	N
574	דְּבִיקוּת	[10]	[]	N
575	מְצִיקוּת	[10]	[]	N
576	שִׁקּוּר	[4]	[1]	C
577	אוּנְקִיָּה	[20]	[1]	C
578	בּוּטָן	[20]	[]	N
579	הִתְפַלְּקוּת	[4]	[]	N
580	תִּסְפֹּֽרֶת	[4]	[1]	C
581	הֵעָקְרוּת א	[4]	[]	N
582	שְׁתוּת	[16]	[1]	C
583	גֵּאוֹצֶנְטְרִי	[20]	[]	N
584	טִיפּוּס	[20]	[]	N
585	שְׁזִירָה	[4]	[1]	C
586	שֶׁלַח ב	[16]	[1]	C
587	הֶפְתֵּק	[19]	[1]	C
588	קוֹלְחוֹז	[20]	[]	N
589	לִילָךְ	[19]	[]	N
590	תֻּרְפָּה	[4]	[1]	C
591	אָנָלִיסְט	[20]	[]	N
592	מִבְרֶשֶׁת	[4, 19]	[]	N
593	בִּשְׂמוֹן	[10]	[1]	M
594	מַפְטִיר	[4]	[1]	C
595	שְׂרִיפָה	[4]	[1]	C
596	תַּעֲרוּכָה	[4]	[]	N
597	סוֹצְיוֹלִינְגְּוִיסְטִיקָה	[20]	[]	N
598	אָשׁוּת	[16]	[1]	C
599	מוֹקֵד	[4, 22]	[1, 2, 3]	B
600	הַרְשָׁמָה	[4]	[]	N
601	דֵּטֶרְמִינַנְטָה	[20]	[]	N
602	עֲטִי א	[16]	[1]	C
603	אַנְגַּרְיָה	[20]	[1]	C
604	יְשׁוּעָה	[4]	[1]	B
605	סַפְדָנוּת	[10]	[]	N
606	קְסַרְקָט	[19]	[1]	C
607	מִצְרֶפֶת	[4, 22]	[]	N
608	הִתְקַשְּׁטוּת	[4]	[]	N
609	אִלּוּם א	[4]	[1]	M
